Film,Subs,Film-miller,Subs-miller,JID-Film,JID-Subs,PrevData (Jm-2),,ALIGNN-FF,Ref,Remarks,,,,,,,
Al(111),Al2O3(001),"""111""","""001""",816,32,1.13,,-0.083,https://iopscience.iop.org/article/10.1088/0953-8984/27/30/305004/pdf,Pag4,python ht_intf.py,,,,,,
Al(111),AlN(001),"""111""","""001""",816,39,2.66,,-0.387,https://www.sciencedirect.com/science/article/pii/S0927025615007326,page84,,,,,,,
AlN(001),Al2O3(001),"""100""","""001""",39,32,0.55,,3.7,https://www.sciencedirect.com/science/article/pii/S0927025615007326,page84,,,,,,,
MoS2(001),Al2O3(001),"""001""","""001""",664,32,0.48,,-0.14,https://aip.scitation.org/doi/pdf/10.1063/1.4928179,page2,,,,,,,
Cu(111),TiN(111),"""111""","""111""",867,14741,0.15,,-0.199,https://link.springer.com/content/pdf/10.1557/JMR.2001.0247.pdf,,,,,,,,
Cu(111),W(001),"""111""","""001""",867,79561,0.45,,2.19,https://link.springer.com/content/pdf/10.1557/JMR.2001.0247.pdf,,,,,,,,
Al(111),TiN(111),"""111""","""111""",816,14741,1.8,,-0.34,https://link.springer.com/content/pdf/10.1557/JMR.2001.0247.pdf,,,,,,,,
Al(111),W(001),"""111""","""001""",816,79561,0.5,,-0.04,https://link.springer.com/content/pdf/10.1557/JMR.2001.0247.pdf,,,,,,,,
Cu(111),SiO2(101),"""111""","""101""",867,58349,0.15,,0.48,https://link.springer.com/content/pdf/10.1557/JMR.2001.0247.pdf,,,,,,,,
Al(111),SiO2(101),"""111""","""101""",816,58349,0.3,,-0.047,https://link.springer.com/content/pdf/10.1557/JMR.2001.0247.pdf,,,,,,,,
MoS2(001),WSe2(001),"""001""","""001""",664,652,0.26,,0.07,https://arxiv.org/ftp/arxiv/papers/2004/2004.03025.pdf,/cluster/users/knc6/justback/Interfa/DFT/interface_energy.py,,,,,,,
C(001),BN(001),"""001""","""001""",667,688,0.22,,-0.065,,,,,,,,,
C(001),SiO2(101),"""001""","""101""",667,58349,0.45,,4.5,https://theory.cm.utexas.edu/henkelman/pubs/gao14_255301.pdf,,,,,,,,
Cu(111),SiO2(001),"""111""","""001""",867,58349,1.4,,0.03,https://journals.aps.org/prb/pdf/10.1103/PhysRevB.83.115327,,,,,,,,
Cu(100),Cu2O(111),"""100""","""111""",867,1216,2.77,,2.6,https://journals.aps.org/prb/pdf/10.1103/PhysRevB.84.125308,,,,,,,,
Ti(001),TiN(001),"""001""","""001""",1029,14741,4.45,,0.77,https://iopscience.iop.org/article/10.1088/0953-8984/26/26/265004/pdf,,,,,,,,
Cu(001),ZrO2(110),"""001""","""110""",867,7809,2.31,,-0.05,https://www.sciencedirect.com/science/article/pii/S0022311517300685,,,,,,,,
Cu(111),C(001),"""111""","""001""",867,667,0.72,,-0.02,https://pubs.acs.org/doi/10.1021/nl204123h,"",,,,,,,
Cu(111),C(001),"""111""","""001""",867,48,0.394,,-0.08,https://www.sciencedirect.com/science/article/pii/S0039602818309671,,,,,,,,
Cu(111),Cu2O(111),"""111""","""111""",867,1216,2.77,,-0.41,https://journals.aps.org/prb/pdf/10.1103/PhysRevB.84.125308,,,,,,,,
TiO2(110),TiN(001),"""110""","""001""",5,14741,0.433,,-2.09,https://www.sciencedirect.com/science/article/pii/S0927025616305687,,,,,,,,
TiO2(001),TiN(111),"""001""","""111""",104,14741,1.71,,,https://www.sciencedirect.com/science/article/pii/S0927025616305687,,,,,,,,
TiO2(001),TiN(001),"""001""","""001""",104,14741,0.04,,,https://www.sciencedirect.com/science/article/pii/S0927025616305687,,,,,,,,
